Главная,,,
Раздел хэдер Status Комментарий,,,
1,Отображается бэкграунд,passed,
2,"Заголовок ""Начни свой день с Coffee""",passed,
3,Кнопка начать ведет в блок с меню,passed,
4,Видео-презентация кофейни,passed,
5,На проигрывателе видео-презентации есть кнопки: play/pause/skip right/skip left,failed,есть только кнопки play/pause
6,Можно открыть презентацию на полный экран,passed,
7,Видео-презентация открывается в проигрывателе IVI,failed,
8,На проигрывателе содержится кнопка увеличения/уменьшения громкости,failed,
9,На проигрывателе находится кнопка настройки,passed,
10,На проигрывателе находится кнопка информации об авторе,passed,
11,На проигрывателе находится информация об авторе,failed,
12,"На проигрывателе находится кнопка ""смотреть как...""",failed,
13,"На проигрывателе находится кнопка ""поделиться""",passed,
14,"Заголовок раздела ""КАК МЫ ГОТОВИМ КОФЕ""",passed,
15,Под заголовком содержится описание,passed,
16,"Под блоком с описанием находится кнопка ""Связаться с владельцем""",failed,